parentApplication,parentApplicationId,parentApplicationSelfLink,name,id,globalAppId,status,health,activeAlerts,enhancedAnalytics,deploymentType,tenantName,applicationName,target,hostname,destinationTarget,destinationHostname,newApplicationName
nbcu-7018718 - ESB,a6ff879b-b326-3e76-aa08-685b01c418d9,https://localhost/mgmt/cm/global/global-apps/a6ff879b-b326-3e76-aa08-685b01c418d9,gns-7018718-esb.inbcu.com_den-dmzbrd-lbvw12.esb.inbcu.com,cbf4b62e-393c-3587-a5e3-5e66e5296e36,a6ff879b-b326-3e76-aa08-685b01c418d9,DEPLOYED,Good,0,FALSE,AS3,gns-7018718-esb.inbcu.com,den-dmzbrd-lbvw12.esb.inbcu.com,100.125.250.243,den-dmzbrd-lbvw2.glb.tfayd.com,,,
nbcu-7018718 - ESB,a6ff879b-b326-3e76-aa08-685b01c418d9,https://localhost/mgmt/cm/global/global-apps/a6ff879b-b326-3e76-aa08-685b01c418d9,gns-7018718-esbstagingnew.inbcu.com_den-drydmz-lbvw12.esbstagingnew.inbcu.com,e55a43fd-31e0-3402-99e9-c8e031db6331,a6ff879b-b326-3e76-aa08-685b01c418d9,DEPLOYED,Good,0,FALSE,AS3,gns-7018718-esbstagingnew.inbcu.com,den-drydmz-lbvw12.esbstagingnew.inbcu.com,100.125.250.243,den-dmzbrd-lbvw2.glb.tfayd.com,,,
nbcu-7018718 - ESB,a6ff879b-b326-3e76-aa08-685b01c418d9,https://localhost/mgmt/cm/global/global-apps/a6ff879b-b326-3e76-aa08-685b01c418d9,gns-7018718-esbstaging.inbcu.com_den-dmzbrd-lbvw12.esbstaging.inbcu.com,542d8ec9-2a97-319d-8152-278fba965dbe,a6ff879b-b326-3e76-aa08-685b01c418d9,DEPLOYED,Good,0,FALSE,AS3,gns-7018718-esbstaging.inbcu.com,den-dmzbrd-lbvw12.esbstaging.inbcu.com,100.125.250.243,den-dmzbrd-lbvw2.glb.tfayd.com,,,
nbcu-4923430 - Lacuna International,f8673e93-0941-309b-bdec-2f2a0a9b7d76,https://localhost/mgmt/cm/global/global-apps/f8673e93-0941-309b-bdec-2f2a0a9b7d76,gns-4923430-lacuna_den-dmzbrd-lbvw12.lacuna.inbcu.com,5c389392-194a-3fcd-ae1a-96a1216cefcf,f8673e93-0941-309b-bdec-2f2a0a9b7d76,DEPLOYED,Good,0,FALSE,AS3,gns-4923430-lacuna,den-dmzbrd-lbvw12.lacuna.inbcu.com,100.125.250.243,den-dmzbrd-lbvw2.glb.tfayd.com,,,
nbcu-7046694 - den-sctemc-xxx,31475273-09d5-363d-9c0d-f9c3af857842,https://localhost/mgmt/cm/global/global-apps/31475273-09d5-363d-9c0d-f9c3af857842,gns-7046694-doc-y-sctemc-bkup_den-dmzbrd-lbvw12.doc-y-sctemc-bkup.nbcuni.com,2c03b9c7-0436-39e3-91c3-8140dec0398f,31475273-09d5-363d-9c0d-f9c3af857842,DEPLOYED,Good,0,FALSE,AS3,gns-7046694-doc-y-sctemc-bkup,den-dmzbrd-lbvw12.doc-y-sctemc-bkup.nbcuni.com,100.125.250.243,den-dmzbrd-lbvw2.glb.tfayd.com,,,
nbcu-7046694 - den-sctemc-xxx,31475273-09d5-363d-9c0d-f9c3af857842,https://localhost/mgmt/cm/global/global-apps/31475273-09d5-363d-9c0d-f9c3af857842,gns-7046694-doc-x-sctemc-bkup_den-dmzbrd-lbvw12.doc-x-sctemc-bkup.nbcuni.com,a9276a74-4ac5-34a4-81ac-e35e9280b4a5,31475273-09d5-363d-9c0d-f9c3af857842,DEPLOYED,Good,0,FALSE,AS3,gns-7046694-doc-x-sctemc-bkup,den-dmzbrd-lbvw12.doc-x-sctemc-bkup.nbcuni.com,100.125.250.243,den-dmzbrd-lbvw2.glb.tfayd.com,,,
nbcu-7046694 - den-sctemc-xxx,31475273-09d5-363d-9c0d-f9c3af857842,https://localhost/mgmt/cm/global/global-apps/31475273-09d5-363d-9c0d-f9c3af857842,gns-7046694-doc-x-sctemc-pri_den-dmzbrd-lbvw12.doc-x-sctemc-pri.nbcuni.com,3f5af164-07e2-3d4d-b9ea-2e69cb824d41,31475273-09d5-363d-9c0d-f9c3af857842,DEPLOYED,Good,0,FALSE,AS3,gns-7046694-doc-x-sctemc-pri,den-dmzbrd-lbvw12.doc-x-sctemc-pri.nbcuni.com,100.125.250.243,den-dmzbrd-lbvw2.glb.tfayd.com,,,
nbcu-7046694 - den-sctemc-xxx,31475273-09d5-363d-9c0d-f9c3af857842,https://localhost/mgmt/cm/global/global-apps/31475273-09d5-363d-9c0d-f9c3af857842,gns-7046694-doc-y-sctemc-pri_den-dmzbrd-lbvw12.doc-y-sctemc-pri.nbcuni.com,d0cc8f0b-0e92-3f6d-b7f4-cb3549be9ab6,31475273-09d5-363d-9c0d-f9c3af857842,DEPLOYED,Good,0,FALSE,AS3,gns-7046694-doc-y-sctemc-pri,den-dmzbrd-lbvw12.doc-y-sctemc-pri.nbcuni.com,100.125.250.243,den-dmzbrd-lbvw2.glb.tfayd.com,,,
nbcu-7018718 - Biztalk-International-DEN,e099ec31-277d-3aa8-90cf-48d8c66fc588,https://localhost/mgmt/cm/global/global-apps/e099ec31-277d-3aa8-90cf-48d8c66fc588,gns-7018718-mcnhubdev_den-dmzbrd-lbvw12.mcnhubdev.foxtel.com.au,afd46452-f751-31b8-8179-e49c863522d0,e099ec31-277d-3aa8-90cf-48d8c66fc588,DEPLOYED,Good,0,FALSE,AS3,gns-7018718-mcnhubdev,den-dmzbrd-lbvw12.mcnhubdev.foxtel.com.au,100.125.250.243,den-dmzbrd-lbvw2.glb.tfayd.com,,,
nbcu-4952001 - DEN,ffd41af6-0eab-3c13-843d-3b4e79c2f9e5,https://localhost/mgmt/cm/global/global-apps/ffd41af6-0eab-3c13-843d-3b4e79c2f9e5,gns-4952001-sysdigprx.adc.nbcuni.com_den-dmzbrd-lbvw12.sysdigprx.adc.nbcuni.com,444fcb62-813d-35dd-99f9-1350af10e568,ffd41af6-0eab-3c13-843d-3b4e79c2f9e5,DEPLOYED,Good,0,FALSE,AS3,gns-4952001-sysdigprx.adc.nbcuni.com,den-dmzbrd-lbvw12.sysdigprx.adc.nbcuni.com,100.125.250.243,den-dmzbrd-lbvw2.glb.tfayd.com,,,
